;Especie;Registros;GBIF;CBC;Reino;Filo;Clase;Orden;Familia;Género
2584;Hemiosus molanoi;3;https://www.gbif.org/species/10625237;NA;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Hemiosus
2585;Hemiosus quindiensis;1;https://www.gbif.org/species/10059120;NA;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Hemiosus
2586;Henicorhina anachoreta;2679;https://www.gbif.org/species/9118881;NA;Animalia;Chordata;Aves;Passeriformes;Troglodytidae;Henicorhina
2587;Henicorhina negreti;3166;https://www.gbif.org/species/5789241;NA;Animalia;Chordata;Aves;Passeriformes;Troglodytidae;Henicorhina
2588;Henriettea goudotiana;220;https://www.gbif.org/species/5938615;https://catalogo.biodiversidad.co/file/595eb11d2f4fd7bc7f3a2b0b/summary;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Melastomataceae;Henriettea
2589;Henriettea maguirei;10;https://www.gbif.org/species/5938632;NA;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Melastomataceae;Henriettea
2590;Herrania laciniifolia;34;https://www.gbif.org/species/3668268;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Herrania
2591;Herrania tomentella;11;https://www.gbif.org/species/3668062;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Herrania
2592;Herrania umbratica;9;https://www.gbif.org/species/3668030;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Herrania
2593;Hesperomeles goudotiana;1005;https://www.gbif.org/species/2988506;https://catalogo.biodiversidad.co/file/56d9ae7c3c16479905cba9b1/summary;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Hesperomeles
2594;Hesperomeles nitida;43;https://www.gbif.org/species/2988507;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Hesperomeles
2595;Hesperoxiphion huilense;3;https://www.gbif.org/species/2743240;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Iridaceae;Hesperoxiphion
2596;Heteropterys colombiana;13;https://www.gbif.org/species/3983947;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Heteropterys
2597;Heteropterys olivacea;3;https://www.gbif.org/species/3982681;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Heteropterys
2598;Heteropterys rudasii;6;https://www.gbif.org/species/3986317;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Heteropterys
2599;Heterosperma achaetum;50;https://www.gbif.org/species/3114393;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Heterosperma
2600;Hibiscus sebastianii;9;https://www.gbif.org/species/3933585;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Hibiscus
2601;Hieracium lehmannii;17;https://www.gbif.org/species/3136689;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium
2602;Hieracium leucanthemum;8;https://www.gbif.org/species/3136685;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium
2603;Hieracium popayanense;5;https://www.gbif.org/species/3136794;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium
2604;Hieracium tolimense;5;https://www.gbif.org/species/3136338;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium
2605;Hieronyma antioquensis;169;https://www.gbif.org/species/3079117;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Hieronyma
2606;Hieronyma rufa;113;https://www.gbif.org/species/3079089;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Hieronyma
2607;Hinterhubera harrietae;2;https://www.gbif.org/species/3134195;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hinterhubera
2608;Hinterhubera nevadensis;10;https://www.gbif.org/species/3134196;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Hinterhubera
2609;Hippeastrum andreanum;6;https://www.gbif.org/species/2854618;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Amaryllidaceae;Hippeastrum
2610;Hippotis grandiflora;18;https://www.gbif.org/species/2901979;NA;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Hippotis
2611;Hiraea escobariae;2;https://www.gbif.org/species/7389321;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Hiraea
2612;Hiraea ferruginea;3;https://www.gbif.org/species/3984736;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Hiraea
2613;Hiraea idroboana;8;https://www.gbif.org/species/3984503;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Hiraea
2614;Hiraea mutisiana;9;https://www.gbif.org/species/3984223;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Hiraea
2615;Hiraea opulifolia;2;https://www.gbif.org/species/3984104;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Hiraea
2616;Hiraea sanctae-marthae;14;https://www.gbif.org/species/3983668;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Hiraea
2617;Hiraea sclerophylla;3;https://www.gbif.org/species/3983632;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Hiraea
2618;Hiraea transiens;16;https://www.gbif.org/species/3983412;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Hiraea
2619;Hirtella adenophora;14;https://www.gbif.org/species/2985140;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Chrysobalanaceae;Hirtella
2620;Hirtella enneandra;8;https://www.gbif.org/species/2985097;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Chrysobalanaceae;Hirtella
2621;Hirtella maguirei;6;https://www.gbif.org/species/2985203;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Chrysobalanaceae;Hirtella
2622;Hoffmannia asperula;41;https://www.gbif.org/species/5335386;NA;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Hoffmannia
2623;Hoffmannia coronata;17;https://www.gbif.org/species/5335428;NA;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Hoffmannia
2624;Hoffmannia dichroantha;14;https://www.gbif.org/species/5335306;NA;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Hoffmannia
2625;Hoffmannia glabra;69;https://www.gbif.org/species/5335437;NA;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Hoffmannia
2626;Hoffmannia sessilis;1;https://www.gbif.org/species/5335349;NA;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Hoffmannia
2627;Hohenbergia andina;28;https://www.gbif.org/species/2699356;https://catalogo.biodiversidad.co/file/61c5fb8a0b9910435946f37f/summary;Plantae;Tracheophyta;Liliopsida;Poales;Bromeliaceae;Hohenbergia
2628;Houlletia conspersa;1;https://www.gbif.org/species/2852419;https://catalogo.biodiversidad.co/file/61e5cefb182759fd3656ab42/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Houlletia
2629;Howdeniola nitidipennis;2;https://www.gbif.org/species/9343283;NA;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Howdeniola
2630;Huertea putumayensis;3;https://www.gbif.org/species/3686346;NA;Plantae;Tracheophyta;Magnoliopsida;Huerteales;Tapisciaceae;Huertea
2631;Humiriastrum colombianum;35;https://www.gbif.org/species/3649159;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Humiriaceae;Humiriastrum
2632;Humiriastrum melanocarpum;43;https://www.gbif.org/species/3649205;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Humiriaceae;Humiriastrum
2633;Huntleya apiculata;5;https://www.gbif.org/species/2809721;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Huntleya
2634;Hyalinobatrachium esmeralda;56;https://www.gbif.org/species/2429328;https://catalogo.biodiversidad.co/file/56734e86f289f5a40c0cd315/summary;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Hyalinobatrachium
2635;Hyalinobatrachium ibama;30;https://www.gbif.org/species/2429297;https://catalogo.biodiversidad.co/file/567351cdf289f5a40c0cd316/summary;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Hyalinobatrachium
2636;Hydrocotyle andina;339;https://www.gbif.org/species/3639758;https://catalogo.biodiversidad.co/file/5b579129f0d3bfe030571121/summary;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Hydrocotyle
2637;Hydrocotyle cuatrecasasii;2;https://www.gbif.org/species/3638658;NA;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Hydrocotyle
2638;Hydrocotyle heucherifolia;1;https://www.gbif.org/species/3637697;NA;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Hydrocotyle
2639;Hydrocotyle lehmannii;29;https://www.gbif.org/species/3637055;https://catalogo.biodiversidad.co/file/5b57930df0d3bfe03057118f/summary;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Hydrocotyle
2640;Hydrocotyle sphenoloba;7;https://www.gbif.org/species/3635122;NA;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Hydrocotyle
2641;Hyloscirtus antioquia;38;https://www.gbif.org/species/8855870;https://catalogo.biodiversidad.co/file/5f8772c44568a5b84027a64b/summary;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyloscirtus
2642;Hyloscirtus bogotensis;233;https://www.gbif.org/species/2428295;https://catalogo.biodiversidad.co/file/5de01218c3d54427475575e1/summary;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyloscirtus
2643;Hyloscirtus callipeza;154;https://www.gbif.org/species/2428311;https://catalogo.biodiversidad.co/file/5f8773414568a5b84027a667/summary;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyloscirtus
2644;Hyloscirtus caucanus;3;https://www.gbif.org/species/2428333;https://catalogo.biodiversidad.co/file/5f8773d54568a5b84027a68f/summary;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyloscirtus
2645;Hyloscirtus denticulentus;102;https://www.gbif.org/species/2428299;https://catalogo.biodiversidad.co/file/5f8775014568a5b84027a6d0/summary;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyloscirtus
2646;Hyloscirtus lynchi;42;https://www.gbif.org/species/2428303;https://catalogo.biodiversidad.co/file/5f8775a04568a5b84027a6fe/summary;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyloscirtus
2647;Hyloscirtus piceigularis;32;https://www.gbif.org/species/2428305;https://catalogo.biodiversidad.co/file/5f88817b4568a5b84027a854/summary;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyloscirtus
2648;Hyloscirtus sarampiona;5;https://www.gbif.org/species/2428313;NA;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyloscirtus
2649;Hyloscirtus simmonsi;16;https://www.gbif.org/species/2428297;https://catalogo.biodiversidad.co/file/5f8883084568a5b84027a8c3/summary;Animalia;Chordata;Amphibia;Anura;Hylidae;Hyloscirtus
2650;Hyloxalus abditaurantius;128;https://www.gbif.org/species/2429175;https://catalogo.biodiversidad.co/file/5f8883f64568a5b84027a8f2/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2651;Hyloxalus arliensis;8;https://www.gbif.org/species/10869559;NA;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2652;Hyloxalus chocoensis;3;https://www.gbif.org/species/2429169;https://catalogo.biodiversidad.co/file/5f8886544568a5b84027a979/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2653;Hyloxalus edwardsi;1;https://www.gbif.org/species/2429251;https://catalogo.biodiversidad.co/file/5f8886f84568a5b84027a9a2/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2654;Hyloxalus excisus;1;https://www.gbif.org/species/2429177;https://catalogo.biodiversidad.co/file/5f8887ea4568a5b84027a9e5/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2655;Hyloxalus faciopunctulatus;20;https://www.gbif.org/species/2429255;https://catalogo.biodiversidad.co/file/56d128523c16479905cba849/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2656;Hyloxalus fascianigrus;91;https://www.gbif.org/species/2429223;https://catalogo.biodiversidad.co/file/5f888b894568a5b84027aaa1/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2657;Hyloxalus felixcoperari;14;https://www.gbif.org/species/10898186;NA;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2658;Hyloxalus pinguis;10;https://www.gbif.org/species/2429188;https://catalogo.biodiversidad.co/file/5f888d164568a5b84027aae6/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2659;Hyloxalus ramosi;91;https://www.gbif.org/species/2429215;https://catalogo.biodiversidad.co/file/56d4b09d3c16479905cba8ad/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2660;Hyloxalus ruizi;7;https://www.gbif.org/species/2429195;https://catalogo.biodiversidad.co/file/5f88951f4568a5b84027abae/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2661;Hyloxalus saltuarius;4;https://www.gbif.org/species/2429173;https://catalogo.biodiversidad.co/file/5f8895bc4568a5b84027abd6/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2662;Hyloxalus sanctamariensis;30;https://www.gbif.org/species/9851277;NA;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2663;Hyloxalus subpunctatus;1854;https://www.gbif.org/species/2429181;NA;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2664;Hyloxalus vergeli;291;https://www.gbif.org/species/2429227;https://catalogo.biodiversidad.co/file/5f8896514568a5b84027abf2/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus
2665;Hymenandra acutissima;16;https://www.gbif.org/species/3722348;NA;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Hymenandra
2666;Hymenandra callejasii;17;https://www.gbif.org/species/3722328;NA;Plantae;Tracheophyta;Magnoliopsida;Ericales;Primulaceae;Hymenandra
2667;Hymenophyllum mortonianum;8;https://www.gbif.org/species/3607792;NA;Plantae;Tracheophyta;Polypodiopsida;Hymenophyllales;Hymenophyllaceae;Hymenophyllum
2668;Hymenophyllum silvaticum;3;https://www.gbif.org/species/3608515;NA;Plantae;Tracheophyta;Polypodiopsida;Hymenophyllales;Hymenophyllaceae;Hymenophyllum
2669;Hyospathe frontinensis;50;https://www.gbif.org/species/2736705;NA;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Hyospathe
2670;Hyospathe wendlandiana;18;https://www.gbif.org/species/2736728;NA;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Hyospathe
2671;Hypericum bolivaricum;3;https://www.gbif.org/species/3714872;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2672;Hypericum bryoides;27;https://www.gbif.org/species/3714678;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2673;Hypericum cuatrecasii;39;https://www.gbif.org/species/8026751;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2674;Hypericum cymobrathys;36;https://www.gbif.org/species/3713530;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2675;Hypericum espinalii;2;https://www.gbif.org/species/3712860;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2676;Hypericum gladiatum;2;https://www.gbif.org/species/3712311;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2677;Hypericum gleasonii;97;https://www.gbif.org/species/3712287;https://catalogo.biodiversidad.co/file/5b59e378f0d3bfe0305732dd/summary;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2678;Hypericum goyanesii;609;https://www.gbif.org/species/3712226;https://catalogo.biodiversidad.co/file/56d9cc853c16479905cba9c0/summary;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2679;Hypericum horizontale;8;https://www.gbif.org/species/3711724;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2680;Hypericum killipii;8;https://www.gbif.org/species/3711257;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2681;Hypericum lycopodioides;59;https://www.gbif.org/species/3715144;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2682;Hypericum martense;12;https://www.gbif.org/species/3714746;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2683;Hypericum myricariifolium;432;https://www.gbif.org/species/3714244;https://catalogo.biodiversidad.co/file/5b59e5adf0d3bfe030573337/summary;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2684;Hypericum papillosum;3;https://www.gbif.org/species/3713611;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2685;Hypericum parallelum;5;https://www.gbif.org/species/3713562;https://catalogo.biodiversidad.co/file/5b59e992f0d3bfe03057338f/summary;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2686;Hypericum pimeleoides;35;https://www.gbif.org/species/3713203;https://catalogo.biodiversidad.co/file/5b59eadff0d3bfe0305733e3/summary;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2687;Hypericum prostratum;171;https://www.gbif.org/species/3712905;https://catalogo.biodiversidad.co/file/5b59ed91f0d3bfe030573445/summary;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2688;Hypericum radicans;1;https://www.gbif.org/species/3712383;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2689;Hypericum relictum;4;https://www.gbif.org/species/3712315;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2690;Hypericum sabiniforme;104;https://www.gbif.org/species/7595116;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2691;Hypericum selaginella;60;https://www.gbif.org/species/3711759;https://catalogo.biodiversidad.co/file/56da5ada3c16479905cba9d7/summary;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2692;Hypericum simonsii;8;https://www.gbif.org/species/3711581;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2693;Hypericum strictum;795;https://www.gbif.org/species/7329907;https://catalogo.biodiversidad.co/file/56da67383c16479905cba9d9/summary;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2694;Hypericum thuyoides;186;https://www.gbif.org/species/3715293;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2695;Hypericum valleanum;5;https://www.gbif.org/species/3714955;https://catalogo.biodiversidad.co/file/5b59f39df0d3bfe0305734ab/summary;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2696;Hypericum woodianum;5;https://www.gbif.org/species/3714655;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Hypericum
2697;Hyphessobrycon acaciae;106;https://www.gbif.org/species/5962472;https://catalogo.biodiversidad.co/file/59c0a9fc5f369343442f6ec7/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2698;Hyphessobrycon amaronensis;10;https://www.gbif.org/species/5962471;https://catalogo.biodiversidad.co/file/59d3b9095f369343442f9c43/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2699;Hyphessobrycon columbianus;6;https://www.gbif.org/species/2354590;https://catalogo.biodiversidad.co/file/59e3cc235f369343443071fb/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2700;Hyphessobrycon condotensis;16;https://www.gbif.org/species/2354568;https://catalogo.biodiversidad.co/file/59e7dfcd5f3693434430b5e4/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2701;Hyphessobrycon klausanni;1;https://www.gbif.org/species/9445918;https://catalogo.biodiversidad.co/file/59d2ddda5f369343442f9991/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2702;Hyphessobrycon mavro;29;https://www.gbif.org/species/5962465;https://catalogo.biodiversidad.co/file/59d1160f5f369343442f7e4f/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2703;Hyphessobrycon natagaima;244;https://www.gbif.org/species/9634831;https://catalogo.biodiversidad.co/file/59d563b25f369343442fbac8/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2704;Hyphessobrycon niger;28;https://www.gbif.org/species/5962468;https://catalogo.biodiversidad.co/file/59d11bf55f369343442f7ecc/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2705;Hyphessobrycon ocasoensis;89;https://www.gbif.org/species/2354575;https://catalogo.biodiversidad.co/file/59d565d25f369343442fbb4f/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2706;Hyphessobrycon poecilioides;302;https://www.gbif.org/species/2354532;https://catalogo.biodiversidad.co/file/59d570375f369343442fbc11/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2707;Hyphessobrycon proteus;1165;https://www.gbif.org/species/2354531;https://catalogo.biodiversidad.co/file/59f0feaf5f3693434430f750/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2708;Hyphessobrycon saizi;13;https://www.gbif.org/species/2354544;https://catalogo.biodiversidad.co/file/59d121b55f369343442f7f63/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2709;Hyphessobrycon sweglesi;121;https://www.gbif.org/species/2354560;https://catalogo.biodiversidad.co/file/59d127d05f369343442f7fdc/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2710;Hyphessobrycon taguae;22;https://www.gbif.org/species/5962467;https://catalogo.biodiversidad.co/file/59d444355f369343442faa9c/summary;Animalia;Chordata;NA;Characiformes;Characidae;Hyphessobrycon
2711;Hypolepis pedropaloensis;7;https://www.gbif.org/species/8139753;NA;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Dennstaedtiaceae;Hypolepis
2712;Hypopyrrhus pyrohypogaster;12128;https://www.gbif.org/species/2484281;https://catalogo.biodiversidad.co/file/56e2d91583c45700544e3d80/summary;Animalia;Chordata;Aves;Passeriformes;Icteridae;Hypopyrrhus
2713;Hypostomus holostictus;15;https://www.gbif.org/species/9430718;https://catalogo.biodiversidad.co/file/59ef8d6c5f3693434430e84c/summary;Animalia;Chordata;NA;Siluriformes;Loricariidae;Hypostomus
2714;Hypostomus niceforoi;230;https://www.gbif.org/species/5202209;https://catalogo.biodiversidad.co/file/59d449ca5f369343442fab9d/summary;Animalia;Chordata;NA;Siluriformes;Loricariidae;Hypostomus
2715;Hypostomus wilsoni;55;https://www.gbif.org/species/9316200;https://catalogo.biodiversidad.co/file/59ef91345f3693434430e8ca/summary;Animalia;Chordata;NA;Siluriformes;Loricariidae;Hypostomus
2716;Hypotrachyna neoscytodes;1;https://www.gbif.org/species/2605509;NA;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypotrachyna
2717;Hypotrachyna paraphyscioides;4;https://www.gbif.org/species/7899848;NA;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Hypotrachyna
2718;Hyptis brachypoda;2;https://www.gbif.org/species/3882516;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Hyptis
2719;Hyptis crassipes;2;https://www.gbif.org/species/3881567;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Hyptis
2720;Hyptis pseudosinuata;7;https://www.gbif.org/species/3901132;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Hyptis
2721;Ibatia holtonii;5;https://www.gbif.org/species/7649869;NA;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Apocynaceae;Ibatia
2722;Ichthyoelephas longirostris;4904;https://www.gbif.org/species/2352119;https://catalogo.biodiversidad.co/file/59284cc9f827bf0c0cedd125/summary;Animalia;Chordata;NA;Characiformes;Prochilodontidae;Ichthyoelephas
2723;Ichthyothere garcia-barrigae;24;https://www.gbif.org/species/3125448;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ichthyothere
2724;Ichthyothere grandifolia;3;https://www.gbif.org/species/3125451;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ichthyothere
2725;Idioneurula donegani;3;https://www.gbif.org/species/8326209;NA;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Idioneurula
2726;Idioneurula erebioides;242;https://www.gbif.org/species/1892533;NA;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Idioneurula
2727;Ikakogi ispacue;1;https://www.gbif.org/species/10137806;NA;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Ikakogi
2728;Ikakogi tayrona;61;https://www.gbif.org/species/10760915;https://catalogo.biodiversidad.co/file/56735558f289f5a40c0cd317/summary;Animalia;Chordata;Amphibia;Anura;Centrolenidae;Ikakogi
2729;Ilex bullata;29;https://www.gbif.org/species/5533706;NA;Plantae;Tracheophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex
2730;Ilex farallonensis;8;https://www.gbif.org/species/5534138;NA;Plantae;Tracheophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex
2731;Ilex flosparva;32;https://www.gbif.org/species/5533913;NA;Plantae;Tracheophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex
2732;Ilex gale;15;https://www.gbif.org/species/5533686;NA;Plantae;Tracheophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex
2733;Ilex magnifolia;3;https://www.gbif.org/species/5534150;NA;Plantae;Tracheophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex
2734;Ilex micrantha;44;https://www.gbif.org/species/5533765;NA;Plantae;Tracheophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex
2735;Ilex mucronulata;7;https://www.gbif.org/species/5534642;NA;Plantae;Tracheophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex
2736;Ilex nayana;19;https://www.gbif.org/species/5534507;NA;Plantae;Tracheophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex
2737;Ilex pustulosa;21;https://www.gbif.org/species/5534106;NA;Plantae;Tracheophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex
2738;Ilex spinulosa;19;https://www.gbif.org/species/5534357;NA;Plantae;Tracheophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex
2739;Ilex velutinulosa;5;https://www.gbif.org/species/5534363;NA;Plantae;Tracheophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex
2740;Imparfinis microps;80;https://www.gbif.org/species/2343557;https://catalogo.biodiversidad.co/file/59d291ee5f369343442f94e4/summary;Animalia;Chordata;NA;Siluriformes;Heptapteridae;Imparfinis
