;Especie;Registros;GBIF;CBC;Reino;Filo;Clase;Orden;Familia;Género
1642;Dendrophorbium chingualense;22;https://www.gbif.org/species/3109966;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Dendrophorbium
1643;Dendrophorbium silvani;11;https://www.gbif.org/species/3109960;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Dendrophorbium
1644;Dendrophthora amalfiensis;5;https://www.gbif.org/species/4069059;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Dendrophthora
1645;Dendrophthora avenia;59;https://www.gbif.org/species/4068984;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Dendrophthora
1646;Dendrophthora sulcata;3;https://www.gbif.org/species/4068513;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Viscaceae;Dendrophthora
1647;Dendropsophus garagoensis;31;https://www.gbif.org/species/2428524;NA;Animalia;Chordata;Amphibia;Anura;Hylidae;Dendropsophus
1648;Dendropsophus luddeckei;60;https://www.gbif.org/species/10863859;https://catalogo.biodiversidad.co/file/5ddf31d7c9571f503ee88b53/summary;Animalia;Chordata;Amphibia;Anura;Hylidae;Dendropsophus
1649;Dendropsophus manonegra;133;https://www.gbif.org/species/8501474;NA;Animalia;Chordata;Amphibia;Anura;Hylidae;Dendropsophus
1650;Dendropsophus mathiassoni;1758;https://www.gbif.org/species/2428493;NA;Animalia;Chordata;Amphibia;Anura;Hylidae;Dendropsophus
1651;Dendropsophus norandinus;71;https://www.gbif.org/species/8632705;NA;Animalia;Chordata;Amphibia;Anura;Hylidae;Dendropsophus
1652;Dendropsophus padreluna;162;https://www.gbif.org/species/2428529;NA;Animalia;Chordata;Amphibia;Anura;Hylidae;Dendropsophus
1653;Dendropsophus praestans;19;https://www.gbif.org/species/2428541;NA;Animalia;Chordata;Amphibia;Anura;Hylidae;Dendropsophus
1654;Dendropsophus stingi;55;https://www.gbif.org/species/2428543;NA;Animalia;Chordata;Amphibia;Anura;Hylidae;Dendropsophus
1655;Dendropsophus virolinensis;226;https://www.gbif.org/species/2428458;NA;Animalia;Chordata;Amphibia;Anura;Hylidae;Dendropsophus
1656;Dendrosida cuatrecasasii;6;https://www.gbif.org/species/3936214;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Dendrosida
1657;Dendrosida oxypetala;11;https://www.gbif.org/species/3936203;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Dendrosida
1658;Deprea cyanocarpa;5;https://www.gbif.org/species/3798397;NA;Plantae;Tracheophyta;Magnoliopsida;Solanales;Solanaceae;Deprea
1659;Deprea darcyana;15;https://www.gbif.org/species/7457521;NA;Plantae;Tracheophyta;Magnoliopsida;Solanales;Solanaceae;Deprea
